WEAPON_FOUND_FLAG,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,LOCATION_IN_OUT_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECT_REPORTED_AGE,SUSPECT_SEX,suspect_race_generalized,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,STOP_LOCATION_BORO_NAME,precinct_2020,pct_black_precinct,is_dominant_race_p,total_pop,black,white,hisp_latino,other,stop_patrol_boro,pct_black_boro,OBSERVED_DURATION_MIN,obs_duration_min_bin,suspect_height_bin,suspect_age_bin
0,2017-01-08,12:40:00 AM,2017,January,Sunday,Based on Radio Run,O,Housing,1.0,26.0,MALE,black,5.7,200.0,MED,BRONX,43,0.380497554060492,0,172122.0,65492.0,40191.0,99213.0,66439.0,PBBX,0.363,1.0,1,medium,adult
1,2017-01-09,2:00:00 PM,2017,January,Monday,Based on Self Initiated,S,Transit,1.0,36.0,MALE,white,5.7,190.0,MED,MANHATTAN,13,0.05194361384023921,1,93640.0,4864.0,70786.0,8565.0,17990.0,PBMS,0.056,1.0,1,medium,middle_age
0,2017-01-10,5:41:00 PM,2017,January,Tuesday,Based on Radio Run,O,PSB,5.0,35.0,MALE,black,5.1,230.0,HEA,BROOKLYN,77,0.7218328484527903,1,90744.0,65502.0,15454.0,10759.0,9788.0,PBBN,0.464,5.0,3-5,very_short,adult
0,2017-01-10,8:00:00 PM,2017,January,Tuesday,Based on Self Initiated,O,PSB,0.0,27.0,MALE,black,6.1,180.0,THN,BRONX,41,0.3029514221184397,0,52246.0,15828.0,12955.0,39089.0,23463.0,PBBX,0.363,0.1,0,very_tall,adult
0,2017-01-10,8:00:00 PM,2017,January,Tuesday,Based on Self Initiated,O,PSB,2.0,25.0,MALE,hisp_latino,6.2,190.0,THN,BRONX,41,0.3029514221184397,0,52246.0,15828.0,12955.0,39089.0,23463.0,PBBX,0.363,2.0,2,very_tall,adult
0,2017-01-10,1:10:00 AM,2017,January,Tuesday,Based on Radio Run,O,PSB,1.0,66.0,MALE,hisp_latino,5.8,265.0,HEA,BRONX,43,0.380497554060492,0,172122.0,65492.0,40191.0,99213.0,66439.0,PBBX,0.363,1.0,1,medium,senior
0,2017-01-10,9:50:00 PM,2017,January,Tuesday,Based on Radio Run,O,PSB,1.0,53.0,MALE,hisp_latino,5.6,200.0,MED,BRONX,49,0.2490585117511681,0,114712.0,28570.0,50305.0,48721.0,35837.0,PBBX,0.363,1.0,1,short,middle_age
1,2017-01-10,4:50:00 PM,2017,January,Tuesday,Based on Self Initiated,S,Transit,1.0,24.0,MALE,white,6.1,170.0,MED,MANHATTAN,13,0.05194361384023921,1,93640.0,4864.0,70786.0,8565.0,17990.0,PBMS,0.056,1.0,1,very_tall,young_adult
1,2017-01-11,1:00:00 PM,2017,January,Wednesday,Based on Self Initiated,S,Transit,1.0,54.0,MALE,black,5.7,180.0,MED,MANHATTAN,6,0.021148715970816058,0,62226.0,1316.0,53227.0,3781.0,7683.0,PBMS,0.056,1.0,1,medium,middle_age
0,2017-01-11,4:00:00 PM,2017,January,Wednesday,Based on Radio Run,O,PSB,2.0,16.0,MALE,hisp_latino,5.6,130.0,MED,MANHATTAN,23,0.3139003638552239,0,73106.0,22948.0,24574.0,36656.0,25584.0,PBMN,0.217,2.0,2,short,juvenile
